	Abilities	Height	Local №	National №	Species	Type	Weight	name
335	1. Levitate	3′03″ (1.0 m)	125 (Ruby/Sapphire/Emerald)214 (Black 2/White 2)012 (X/Y — Coastal Kalos)130 (Omega Ruby/Alpha Sapphire)	337	Meteorite Pokémon	Rock Psychic	370.4 lbs (168.0 kg)	Lunatone
336	1. Levitate	3′11″ (1.2 m)	126 (Ruby/Sapphire/Emerald)215 (Black 2/White 2)013 (X/Y — Coastal Kalos)131 (Omega Ruby/Alpha Sapphire)	338	Meteorite Pokémon	Rock Psychic	339.5 lbs (154.0 kg)	Solrock
337	1. Oblivious2. AnticipationHydration (hidden ability)	1′04″ (0.4 m)	127 (Ruby/Sapphire/Emerald)080 (Diamond/Pearl)080 (Platinum)040 (X/Y — Mountain Kalos)132 (Omega Ruby/Alpha Sapphire)093 (Sun/Moon — Alola dex)113 (U.Sun/U.Moon — Alola dex)	339	Whiskers Pokémon	Water Ground	4.2 lbs (1.9 kg)	Barboach
338	1. Oblivious2. AnticipationHydration (hidden ability)	2′11″ (0.9 m)	128 (Ruby/Sapphire/Emerald)081 (Diamond/Pearl)081 (Platinum)041 (X/Y — Mountain Kalos)133 (Omega Ruby/Alpha Sapphire)094 (Sun/Moon — Alola dex)114 (U.Sun/U.Moon — Alola dex)	340	Whiskers Pokémon	Water Ground	52.0 lbs (23.6 kg)	Whiscash
339	1. Hyper Cutter2. Shell ArmorAdaptability (hidden ability)	2′00″ (0.6 m)	129 (Ruby/Sapphire/Emerald)279 (Black 2/White 2)051 (X/Y — Central Kalos)134 (Omega Ruby/Alpha Sapphire)357 (U.Sun/U.Moon — Alola dex)	341	Ruffian Pokémon	Water	25.4 lbs (11.5 kg)	Corphish
340	1. Hyper Cutter2. Shell ArmorAdaptability (hidden ability)	3′07″ (1.1 m)	130 (Ruby/Sapphire/Emerald)280 (Black 2/White 2)052 (X/Y — Central Kalos)135 (Omega Ruby/Alpha Sapphire)358 (U.Sun/U.Moon — Alola dex)	342	Rogue Pokémon	Water Dark	72.3 lbs (32.8 kg)	Crawdaunt
341	1. Levitate	1′08″ (0.5 m)	131 (Ruby/Sapphire/Emerald)169 (Black 2/White 2)136 (Omega Ruby/Alpha Sapphire)310 (U.Sun/U.Moon — Alola dex)	343	Clay Doll Pokémon	Ground Psychic	47.4 lbs (21.5 kg)	Baltoy
342	1. Levitate	4′11″ (1.5 m)	132 (Ruby/Sapphire/Emerald)170 (Black 2/White 2)137 (Omega Ruby/Alpha Sapphire)311 (U.Sun/U.Moon — Alola dex)	344	Clay Doll Pokémon	Ground Psychic	238.1 lbs (108.0 kg)	Claydol
343	1. Suction CupsStorm Drain (hidden ability)	3′03″ (1.0 m)	133 (Ruby/Sapphire/Emerald)138 (Omega Ruby/Alpha Sapphire)231 (U.Sun/U.Moon — Alola dex)	345	Sea Lily Pokémon	Rock Grass	52.5 lbs (23.8 kg)	Lileep
344	1. Suction CupsStorm Drain (hidden ability)	4′11″ (1.5 m)	134 (Ruby/Sapphire/Emerald)139 (Omega Ruby/Alpha Sapphire)232 (U.Sun/U.Moon — Alola dex)	346	Barnacle Pokémon	Rock Grass	133.2 lbs (60.4 kg)	Cradily
345	1. Battle ArmorSwift Swim (hidden ability)	2′04″ (0.7 m)	135 (Ruby/Sapphire/Emerald)140 (Omega Ruby/Alpha Sapphire)233 (U.Sun/U.Moon — Alola dex)	347	Old Shrimp Pokémon	Rock Bug	27.6 lbs (12.5 kg)	Anorith
346	1. Battle ArmorSwift Swim (hidden ability)	4′11″ (1.5 m)	136 (Ruby/Sapphire/Emerald)141 (Omega Ruby/Alpha Sapphire)234 (U.Sun/U.Moon — Alola dex)	348	Plate Pokémon	Rock Bug	150.4 lbs (68.2 kg)	Armaldo
347	1. Swift Swim2. ObliviousAdaptability (hidden ability)	2′00″ (0.6 m)	140 (Ruby/Sapphire/Emerald)138 (Diamond/Pearl)138 (Platinum)145 (Omega Ruby/Alpha Sapphire)155 (Sun/Moon — Alola dex)189 (U.Sun/U.Moon — Alola dex)	349	Fish Pokémon	Water	16.3 lbs (7.4 kg)	Feebas
348	1. Marvel Scale2. CompetitiveCute Charm (hidden ability)	20′04″ (6.2 m)	141 (Ruby/Sapphire/Emerald)139 (Diamond/Pearl)139 (Platinum)146 (Omega Ruby/Alpha Sapphire)156 (Sun/Moon — Alola dex)190 (U.Sun/U.Moon — Alola dex)	350	Tender Pokémon	Water	357.1 lbs (162.0 kg)	Milotic
349	1. Forecast	1′00″ (0.3 m)	142 (Ruby/Sapphire/Emerald)163 (Black 2/White 2)147 (Omega Ruby/Alpha Sapphire)181 (Sun/Moon — Alola dex)220 (U.Sun/U.Moon — Alola dex)	351	Weather Pokémon	Normal	1.8 lbs (0.8 kg)	Castform
350	1. Color ChangeProtean (hidden ability)	3′03″ (1.0 m)	145 (Ruby/Sapphire/Emerald)116 (X/Y — Central Kalos)150 (Omega Ruby/Alpha Sapphire)214 (U.Sun/U.Moon — Alola dex)	352	Color Swap Pokémon	Normal	48.5 lbs (22.0 kg)	Kecleon
351	1. Insomnia2. FriskCursed Body (hidden ability)	2′00″ (0.6 m)	146 (Ruby/Sapphire/Emerald)210 (Black 2/White 2)122 (X/Y — Mountain Kalos)151 (Omega Ruby/Alpha Sapphire)316 (U.Sun/U.Moon — Alola dex)	353	Puppet Pokémon	Ghost	5.1 lbs (2.3 kg)	Shuppet
352	1. Insomnia2. FriskCursed Body (hidden ability)	3′07″ (1.1 m)	147 (Ruby/Sapphire/Emerald)211 (Black 2/White 2)123 (X/Y — Mountain Kalos)152 (Omega Ruby/Alpha Sapphire)317 (U.Sun/U.Moon — Alola dex)	354	Marionette Pokémon	Ghost	27.6 lbs (12.5 kg)	Banette
353	1. LevitateFrisk (hidden ability)	2′07″ (0.8 m)	148 (Ruby/Sapphire/Emerald)189 (Platinum)153 (Omega Ruby/Alpha Sapphire)	355	Requiem Pokémon	Ghost	33.1 lbs (15.0 kg)	Duskull
354	1. PressureFrisk (hidden ability)	5′03″ (1.6 m)	149 (Ruby/Sapphire/Emerald)190 (Platinum)154 (Omega Ruby/Alpha Sapphire)	356	Beckon Pokémon	Ghost	67.5 lbs (30.6 kg)	Dusclops
355	1. Chlorophyll2. Solar PowerHarvest (hidden ability)	6′07″ (2.0 m)	150 (Ruby/Sapphire/Emerald)185 (Platinum)288 (Black 2/White 2)156 (Omega Ruby/Alpha Sapphire)354 (U.Sun/U.Moon — Alola dex)	357	Fruit Pokémon	Grass Flying	220.5 lbs (100.0 kg)	Tropius
356	1. Levitate	2′00″ (0.6 m)	151 (Ruby/Sapphire/Emerald)083 (Diamond/Pearl)083 (Platinum)112 (X/Y — Coastal Kalos)158 (Omega Ruby/Alpha Sapphire)	358	Wind Chime Pokémon	Psychic	2.2 lbs (1.0 kg)	Chimecho
357	1. Pressure2. Super LuckJustified (hidden ability)	3′11″ (1.2 m)	152 (Ruby/Sapphire/Emerald)209 (Platinum)216 (Black 2/White 2)009 (X/Y — Coastal Kalos)159 (Omega Ruby/Alpha Sapphire)245 (Sun/Moon — Alola dex)322 (U.Sun/U.Moon — Alola dex)	359	Disaster Pokémon	Dark	103.6 lbs (47.0 kg)	Absol
358	1. Shadow TagTelepathy (hidden ability)	2′00″ (0.6 m)	160 (Ruby/Sapphire/Emerald)118 (X/Y — Coastal Kalos)167 (Omega Ruby/Alpha Sapphire)	360	Bright Pokémon	Psychic	30.9 lbs (14.0 kg)	Wynaut
359	1. Inner Focus2. Ice BodyMoody (hidden ability)	2′04″ (0.7 m)	171 (Ruby/Sapphire/Emerald)206 (Platinum)179 (Omega Ruby/Alpha Sapphire)246 (Sun/Moon — Alola dex)323 (U.Sun/U.Moon — Alola dex)	361	Snow Hat Pokémon	Ice	37.0 lbs (16.8 kg)	Snorunt
360	1. Inner Focus2. Ice BodyMoody (hidden ability)	4′11″ (1.5 m)	172 (Ruby/Sapphire/Emerald)207 (Platinum)180 (Omega Ruby/Alpha Sapphire)247 (Sun/Moon — Alola dex)324 (U.Sun/U.Moon — Alola dex)	362	Face Pokémon	Ice	565.5 lbs (256.5 kg)	Glalie
361	1. Thick Fat2. Ice BodyOblivious (hidden ability)	2′07″ (0.8 m)	173 (Ruby/Sapphire/Emerald)243 (Black 2/White 2)182 (Omega Ruby/Alpha Sapphire)	363	Clap Pokémon	Ice Water	87.1 lbs (39.5 kg)	Spheal
362	1. Thick Fat2. Ice BodyOblivious (hidden ability)	3′07″ (1.1 m)	174 (Ruby/Sapphire/Emerald)244 (Black 2/White 2)183 (Omega Ruby/Alpha Sapphire)	364	Ball Roll Pokémon	Ice Water	193.1 lbs (87.6 kg)	Sealeo
363	1. Thick Fat2. Ice BodyOblivious (hidden ability)	4′07″ (1.4 m)	175 (Ruby/Sapphire/Emerald)245 (Black 2/White 2)184 (Omega Ruby/Alpha Sapphire)	365	Ice Break Pokémon	Ice Water	332.0 lbs (150.6 kg)	Walrein
364	1. Shell ArmorRattled (hidden ability)	1′04″ (0.4 m)	176 (Ruby/Sapphire/Emerald)141 (X/Y — Coastal Kalos)185 (Omega Ruby/Alpha Sapphire)140 (U.Sun/U.Moon — Alola dex)	366	Bivalve Pokémon	Water	115.7 lbs (52.5 kg)	Clamperl
365	1. Swift SwimWater Veil (hidden ability)	5′07″ (1.7 m)	177 (Ruby/Sapphire/Emerald)142 (X/Y — Coastal Kalos)186 (Omega Ruby/Alpha Sapphire)141 (U.Sun/U.Moon — Alola dex)	367	Deep Sea Pokémon	Water	59.5 lbs (27.0 kg)	Huntail
366	1. Swift SwimHydration (hidden ability)	5′11″ (1.8 m)	178 (Ruby/Sapphire/Emerald)143 (X/Y — Coastal Kalos)187 (Omega Ruby/Alpha Sapphire)142 (U.Sun/U.Moon — Alola dex)	368	South Sea Pokémon	Water	49.8 lbs (22.6 kg)	Gorebyss
367	1. Swift Swim2. Rock HeadSturdy (hidden ability)	3′03″ (1.0 m)	179 (Ruby/Sapphire/Emerald)042 (X/Y — Coastal Kalos)188 (Omega Ruby/Alpha Sapphire)262 (Sun/Moon — Alola dex)343 (U.Sun/U.Moon — Alola dex)	369	Longevity Pokémon	Water Rock	51.6 lbs (23.4 kg)	Relicanth
368	1. Swift SwimHydration (hidden ability)	2′00″ (0.6 m)	183 (Ruby/Sapphire/Emerald)029 (X/Y — Coastal Kalos)192 (Omega Ruby/Alpha Sapphire)111 (Sun/Moon — Alola dex)134 (U.Sun/U.Moon — Alola dex)	370	Rendezvous Pokémon	Water	19.2 lbs (8.7 kg)	Luvdisc
369	1. Rock HeadSheer Force (hidden ability)	2′00″ (0.6 m)	187 (Ruby/Sapphire/Emerald)014 (X/Y — Coastal Kalos)196 (Omega Ruby/Alpha Sapphire)117 (Sun/Moon — Alola dex)147 (U.Sun/U.Moon — Alola dex)	371	Rock Head Pokémon	Dragon	92.8 lbs (42.1 kg)	Bagon
370	1. Rock HeadOvercoat (hidden ability)	3′07″ (1.1 m)	188 (Ruby/Sapphire/Emerald)015 (X/Y — Coastal Kalos)197 (Omega Ruby/Alpha Sapphire)118 (Sun/Moon — Alola dex)148 (U.Sun/U.Moon — Alola dex)	372	Endurance Pokémon	Dragon	243.6 lbs (110.5 kg)	Shelgon
371	1. IntimidateMoxie (hidden ability)	4′11″ (1.5 m)	189 (Ruby/Sapphire/Emerald)016 (X/Y — Coastal Kalos)198 (Omega Ruby/Alpha Sapphire)119 (Sun/Moon — Alola dex)149 (U.Sun/U.Moon — Alola dex)	373	Dragon Pokémon	Dragon Flying	226.2 lbs (102.6 kg)	Salamence
372	1. Clear BodyLight Metal (hidden ability)	2′00″ (0.6 m)	190 (Ruby/Sapphire/Emerald)262 (Black 2/White 2)199 (Omega Ruby/Alpha Sapphire)214 (Sun/Moon — Alola dex)278 (U.Sun/U.Moon — Alola dex)	374	Iron Ball Pokémon	Steel Psychic	209.9 lbs (95.2 kg)	Beldum
373	1. Clear BodyLight Metal (hidden ability)	3′11″ (1.2 m)	191 (Ruby/Sapphire/Emerald)263 (Black 2/White 2)200 (Omega Ruby/Alpha Sapphire)215 (Sun/Moon — Alola dex)279 (U.Sun/U.Moon — Alola dex)	375	Iron Claw Pokémon	Steel Psychic	446.4 lbs (202.5 kg)	Metang
374	1. Clear BodyLight Metal (hidden ability)	5′03″ (1.6 m)	192 (Ruby/Sapphire/Emerald)264 (Black 2/White 2)201 (Omega Ruby/Alpha Sapphire)216 (Sun/Moon — Alola dex)280 (U.Sun/U.Moon — Alola dex)	376	Iron Leg Pokémon	Steel Psychic	1212.5 lbs (550.0 kg)	Metagross
375	1. Clear BodySturdy (hidden ability)	5′07″ (1.7 m)	193 (Ruby/Sapphire/Emerald)202 (Omega Ruby/Alpha Sapphire)	377	Rock Peak Pokémon	Rock	507.1 lbs (230.0 kg)	Regirock
376	1. Clear BodyIce Body (hidden ability)	5′11″ (1.8 m)	194 (Ruby/Sapphire/Emerald)203 (Omega Ruby/Alpha Sapphire)	378	Iceberg Pokémon	Ice	385.8 lbs (175.0 kg)	Regice
377	1. Clear BodyLight Metal (hidden ability)	6′03″ (1.9 m)	195 (Ruby/Sapphire/Emerald)204 (Omega Ruby/Alpha Sapphire)	379	Iron Pokémon	Steel	451.9 lbs (205.0 kg)	Registeel
378	1. Levitate	4′07″ (1.4 m)	196 (Ruby/Sapphire/Emerald)205 (Omega Ruby/Alpha Sapphire)	380	Eon Pokémon	Dragon Psychic	88.2 lbs (40.0 kg)	Latias
379	1. Levitate	6′07″ (2.0 m)	197 (Ruby/Sapphire/Emerald)206 (Omega Ruby/Alpha Sapphire)	381	Eon Pokémon	Dragon Psychic	132.3 lbs (60.0 kg)	Latios
380	1. Drizzle	14′09″ (4.5 m)	198 (Ruby/Sapphire/Emerald)207 (Omega Ruby/Alpha Sapphire)	382	Sea Basin Pokémon	Water	776.0 lbs (352.0 kg)	Kyogre
381	1. Drought	11′06″ (3.5 m)	199 (Ruby/Sapphire/Emerald)208 (Omega Ruby/Alpha Sapphire)	383	Continent Pokémon	Ground	2094.4 lbs (950.0 kg)	Groudon
382	1. Air Lock	23′00″ (7.0 m)	200 (Ruby/Sapphire/Emerald)209 (Omega Ruby/Alpha Sapphire)	384	Sky High Pokémon	Dragon Flying	455.2 lbs (206.5 kg)	Rayquaza
383	1. Serene Grace	1′00″ (0.3 m)	201 (Ruby/Sapphire/Emerald)210 (Omega Ruby/Alpha Sapphire)	385	Wish Pokémon	Steel Psychic	2.4 lbs (1.1 kg)	Jirachi
384	1. Pressure	5′07″ (1.7 m)	202 (Ruby/Sapphire/Emerald)211 (Omega Ruby/Alpha Sapphire)	386	DNA Pokémon	Psychic	134.0 lbs (60.8 kg)	Deoxys
385	1. OvergrowShell Armor (hidden ability)	1′04″ (0.4 m)	001 (Diamond/Pearl)001 (Platinum)	387	Tiny Leaf Pokémon	Grass	22.5 lbs (10.2 kg)	Turtwig
386	1. OvergrowShell Armor (hidden ability)	3′07″ (1.1 m)	002 (Diamond/Pearl)002 (Platinum)	388	Grove Pokémon	Grass	213.8 lbs (97.0 kg)	Grotle
387	1. OvergrowShell Armor (hidden ability)	7′03″ (2.2 m)	003 (Diamond/Pearl)003 (Platinum)	389	Continent Pokémon	Grass Ground	683.4 lbs (310.0 kg)	Torterra
388	1. BlazeIron Fist (hidden ability)	1′08″ (0.5 m)	004 (Diamond/Pearl)004 (Platinum)	390	Chimp Pokémon	Fire	13.7 lbs (6.2 kg)	Chimchar
389	1. BlazeIron Fist (hidden ability)	2′11″ (0.9 m)	005 (Diamond/Pearl)005 (Platinum)	391	Playful Pokémon	Fire Fighting	48.5 lbs (22.0 kg)	Monferno
390	1. BlazeIron Fist (hidden ability)	3′11″ (1.2 m)	006 (Diamond/Pearl)006 (Platinum)	392	Flame Pokémon	Fire Fighting	121.3 lbs (55.0 kg)	Infernape
391	1. TorrentDefiant (hidden ability)	1′04″ (0.4 m)	007 (Diamond/Pearl)007 (Platinum)	393	Penguin Pokémon	Water	11.5 lbs (5.2 kg)	Piplup
392	1. TorrentDefiant (hidden ability)	2′07″ (0.8 m)	008 (Diamond/Pearl)008 (Platinum)	394	Penguin Pokémon	Water	50.7 lbs (23.0 kg)	Prinplup
393	1. TorrentDefiant (hidden ability)	5′07″ (1.7 m)	009 (Diamond/Pearl)009 (Platinum)	395	Emperor Pokémon	Water Steel	186.3 lbs (84.5 kg)	Empoleon
394	1. Keen EyeReckless (hidden ability)	1′00″ (0.3 m)	010 (Diamond/Pearl)010 (Platinum)099 (X/Y — Coastal Kalos)	396	Starling Pokémon	Normal Flying	4.4 lbs (2.0 kg)	Starly
395	1. IntimidateReckless (hidden ability)	2′00″ (0.6 m)	011 (Diamond/Pearl)011 (Platinum)100 (X/Y — Coastal Kalos)	397	Starling Pokémon	Normal Flying	34.2 lbs (15.5 kg)	Staravia
396	1. IntimidateReckless (hidden ability)	3′11″ (1.2 m)	012 (Diamond/Pearl)012 (Platinum)101 (X/Y — Coastal Kalos)	398	Predator Pokémon	Normal Flying	54.9 lbs (24.9 kg)	Staraptor
397	1. Simple2. UnawareMoody (hidden ability)	1′08″ (0.5 m)	013 (Diamond/Pearl)013 (Platinum)038 (X/Y — Central Kalos)	399	Plump Mouse Pokémon	Normal	44.1 lbs (20.0 kg)	Bidoof
398	1. Simple2. UnawareMoody (hidden ability)	3′03″ (1.0 m)	014 (Diamond/Pearl)014 (Platinum)039 (X/Y — Central Kalos)	400	Beaver Pokémon	Normal Water	69.4 lbs (31.5 kg)	Bibarel
399	1. Shed SkinRun Away (hidden ability)	1′00″ (0.3 m)	015 (Diamond/Pearl)015 (Platinum)	401	Cricket Pokémon	Bug	4.9 lbs (2.2 kg)	Kricketot
400	1. SwarmTechnician (hidden ability)	3′03″ (1.0 m)	016 (Diamond/Pearl)016 (Platinum)	402	Cricket Pokémon	Bug	56.2 lbs (25.5 kg)	Kricketune
401	1. Rivalry2. IntimidateGuts (hidden ability)	1′08″ (0.5 m)	017 (Diamond/Pearl)017 (Platinum)	403	Flash Pokémon	Electric	20.9 lbs (9.5 kg)	Shinx
402	1. Rivalry2. IntimidateGuts (hidden ability)	2′11″ (0.9 m)	018 (Diamond/Pearl)018 (Platinum)	404	Spark Pokémon	Electric	67.2 lbs (30.5 kg)	Luxio
403	1. Rivalry2. IntimidateGuts (hidden ability)	4′07″ (1.4 m)	019 (Diamond/Pearl)019 (Platinum)	405	Gleam Eyes Pokémon	Electric	92.6 lbs (42.0 kg)	Luxray
404	1. Natural Cure2. Poison PointLeaf Guard (hidden ability)	0′08″ (0.2 m)	025 (Diamond/Pearl)025 (Platinum)133 (Black 2/White 2)071 (X/Y — Central Kalos)097 (Omega Ruby/Alpha Sapphire)	406	Bud Pokémon	Grass Poison	2.6 lbs (1.2 kg)	Budew
405	1. Natural Cure2. Poison PointTechnician (hidden ability)	2′11″ (0.9 m)	027 (Diamond/Pearl)027 (Platinum)135 (Black 2/White 2)073 (X/Y — Central Kalos)099 (Omega Ruby/Alpha Sapphire)	407	Bouquet Pokémon	Grass Poison	32.0 lbs (14.5 kg)	Roserade
406	1. Mold BreakerSheer Force (hidden ability)	2′11″ (0.9 m)	036 (Diamond/Pearl)036 (Platinum)188 (Sun/Moon — Alola dex)235 (U.Sun/U.Moon — Alola dex)	408	Head Butt Pokémon	Rock	69.4 lbs (31.5 kg)	Cranidos
407	1. Mold BreakerSheer Force (hidden ability)	5′03″ (1.6 m)	037 (Diamond/Pearl)037 (Platinum)189 (Sun/Moon — Alola dex)236 (U.Sun/U.Moon — Alola dex)	409	Head Butt Pokémon	Rock	226.0 lbs (102.5 kg)	Rampardos
408	1. SturdySoundproof (hidden ability)	1′08″ (0.5 m)	038 (Diamond/Pearl)038 (Platinum)190 (Sun/Moon — Alola dex)237 (U.Sun/U.Moon — Alola dex)	410	Shield Pokémon	Rock Steel	125.7 lbs (57.0 kg)	Shieldon
409	1. SturdySoundproof (hidden ability)	4′03″ (1.3 m)	039 (Diamond/Pearl)039 (Platinum)191 (Sun/Moon — Alola dex)238 (U.Sun/U.Moon — Alola dex)	411	Shield Pokémon	Rock Steel	329.6 lbs (149.5 kg)	Bastiodon
410	1. Shed SkinOvercoat (hidden ability)	0′08″ (0.2 m)	045 (Diamond/Pearl)045 (Platinum)044 (X/Y — Central Kalos)	412	Bagworm Pokémon	Bug	7.5 lbs (3.4 kg)	Burmy
411	1. AnticipationOvercoat (hidden ability)	1′08″ (0.5 m)	046 (Diamond/Pearl)046 (Platinum)045 (X/Y — Central Kalos)	413	Bagworm Pokémon	Bug Grass	14.3 lbs (6.5 kg)	Wormadam
412	1. SwarmTinted Lens (hidden ability)	2′11″ (0.9 m)	047 (Diamond/Pearl)047 (Platinum)046 (X/Y — Central Kalos)	414	Moth Pokémon	Bug Flying	51.4 lbs (23.3 kg)	Mothim
413	1. Honey GatherHustle (hidden ability)	1′00″ (0.3 m)	053 (Diamond/Pearl)053 (Platinum)142 (Black 2/White 2)076 (X/Y — Central Kalos)	415	Tiny Bee Pokémon	Bug Flying	12.1 lbs (5.5 kg)	Combee
414	1. PressureUnnerve (hidden ability)	3′11″ (1.2 m)	054 (Diamond/Pearl)054 (Platinum)143 (Black 2/White 2)077 (X/Y — Central Kalos)	416	Beehive Pokémon	Bug Flying	84.9 lbs (38.5 kg)	Vespiquen
415	1. Run Away2. PickupVolt Absorb (hidden ability)	1′04″ (0.4 m)	055 (Diamond/Pearl)055 (Platinum)132 (X/Y — Coastal Kalos)	417	EleSquirrel Pokémon	Electric	8.6 lbs (3.9 kg)	Pachirisu
416	1. Swift SwimWater Veil (hidden ability)	2′04″ (0.7 m)	056 (Diamond/Pearl)056 (Platinum)149 (Black 2/White 2)058 (X/Y — Mountain Kalos)	418	Sea Weasel Pokémon	Water	65.0 lbs (29.5 kg)	Buizel
417	1. Swift SwimWater Veil (hidden ability)	3′07″ (1.1 m)	057 (Diamond/Pearl)057 (Platinum)150 (Black 2/White 2)059 (X/Y — Mountain Kalos)	419	Sea Weasel Pokémon	Water	73.9 lbs (33.5 kg)	Floatzel
418	1. Chlorophyll	1′04″ (0.4 m)	058 (Diamond/Pearl)058 (Platinum)	420	Cherry Pokémon	Grass	7.3 lbs (3.3 kg)	Cherubi
419	1. Flower Gift	1′08″ (0.5 m)	059 (Diamond/Pearl)059 (Platinum)	421	Blossom Pokémon	Grass	20.5 lbs (9.3 kg)	Cherrim
420	1. Sticky Hold2. Storm DrainSand Force (hidden ability)	1′00″ (0.3 m)	060 (Diamond/Pearl)060 (Platinum)260 (Sun/Moon — Alola dex)341 (U.Sun/U.Moon — Alola dex)	422	Sea Slug Pokémon	Water	13.9 lbs (6.3 kg)	Shellos
421	1. Sticky Hold2. Storm DrainSand Force (hidden ability)	2′11″ (0.9 m)	061 (Diamond/Pearl)061 (Platinum)261 (Sun/Moon — Alola dex)342 (U.Sun/U.Moon — Alola dex)	423	Sea Slug Pokémon	Water Ground	65.9 lbs (29.9 kg)	Gastrodon
422	1. Technician2. PickupSkill Link (hidden ability)	3′11″ (1.2 m)	064 (Diamond/Pearl)064 (Platinum)124 (HeartGold/SoulSilver)369 (U.Sun/U.Moon — Alola dex)	424	Long Tail Pokémon	Normal	44.8 lbs (20.3 kg)	Ambipom
423	1. Aftermath2. UnburdenFlare Boost (hidden ability)	1′04″ (0.4 m)	065 (Diamond/Pearl)065 (Platinum)208 (Black 2/White 2)001 (X/Y — Coastal Kalos)064 (Sun/Moon — Alola dex)076 (U.Sun/U.Moon — Alola dex)	425	Balloon Pokémon	Ghost Flying	2.6 lbs (1.2 kg)	Drifloon
424	1. Aftermath2. UnburdenFlare Boost (hidden ability)	3′11″ (1.2 m)	066 (Diamond/Pearl)066 (Platinum)209 (Black 2/White 2)002 (X/Y — Coastal Kalos)065 (Sun/Moon — Alola dex)077 (U.Sun/U.Moon — Alola dex)	426	Blimp Pokémon	Ghost Flying	33.1 lbs (15.0 kg)	Drifblim
425	1. Run Away2. KlutzLimber (hidden ability)	1′04″ (0.4 m)	067 (Diamond/Pearl)067 (Platinum)080 (Black 2/White 2)024 (U.Sun/U.Moon — Alola dex)	427	Rabbit Pokémon	Normal	12.1 lbs (5.5 kg)	Buneary
426	1. Cute Charm2. KlutzLimber (hidden ability)	3′11″ (1.2 m)	068 (Diamond/Pearl)068 (Platinum)081 (Black 2/White 2)025 (U.Sun/U.Moon — Alola dex)	428	Rabbit Pokémon	Normal	73.4 lbs (33.3 kg)	Lopunny
427	1. Levitate	2′11″ (0.9 m)	073 (Diamond/Pearl)073 (Platinum)067 (Sun/Moon — Alola dex)373 (U.Sun/U.Moon — Alola dex)	429	Magical Pokémon	Ghost	9.7 lbs (4.4 kg)	Mismagius
428	1. Insomnia2. Super LuckMoxie (hidden ability)	2′11″ (0.9 m)	075 (Diamond/Pearl)075 (Platinum)052 (X/Y — Mountain Kalos)278 (Sun/Moon — Alola dex)079 (U.Sun/U.Moon — Alola dex)	430	Big Boss Pokémon	Dark Flying	60.2 lbs (27.3 kg)	Honchkrow
429	1. Limber2. Own TempoKeen Eye (hidden ability)	1′08″ (0.5 m)	076 (Diamond/Pearl)076 (Platinum)	431	Catty Pokémon	Normal	8.6 lbs (3.9 kg)	Glameow
430	1. Thick Fat2. Own TempoDefiant (hidden ability)	3′03″ (1.0 m)	077 (Diamond/Pearl)077 (Platinum)	432	Tiger Cat Pokémon	Normal	96.6 lbs (43.8 kg)	Purugly
431	1. Levitate	0′08″ (0.2 m)	082 (Diamond/Pearl)082 (Platinum)111 (X/Y — Coastal Kalos)157 (Omega Ruby/Alpha Sapphire)	433	Bell Pokémon	Psychic	1.3 lbs (0.6 kg)	Chingling
432	1. Stench2. AftermathKeen Eye (hidden ability)	1′04″ (0.4 m)	084 (Diamond/Pearl)084 (Platinum)102 (X/Y — Coastal Kalos)	434	Skunk Pokémon	Poison Dark	42.3 lbs (19.2 kg)	Stunky
433	1. Stench2. AftermathKeen Eye (hidden ability)	3′03″ (1.0 m)	085 (Diamond/Pearl)085 (Platinum)103 (X/Y — Coastal Kalos)	435	Skunk Pokémon	Poison Dark	83.8 lbs (38.0 kg)	Skuntank
434	1. Levitate2. HeatproofHeavy Metal (hidden ability)	1′08″ (0.5 m)	088 (Diamond/Pearl)088 (Platinum)250 (Black 2/White 2)	436	Bronze Pokémon	Steel Psychic	133.4 lbs (60.5 kg)	Bronzor
435	1. Levitate2. HeatproofHeavy Metal (hidden ability)	4′03″ (1.3 m)	089 (Diamond/Pearl)089 (Platinum)251 (Black 2/White 2)	437	Bronze Bell Pokémon	Steel Psychic	412.3 lbs (187.0 kg)	Bronzong
436	1. Sturdy2. Rock HeadRattled (hidden ability)	1′08″ (0.5 m)	092 (Diamond/Pearl)092 (Platinum)129 (X/Y — Mountain Kalos)030 (Sun/Moon — Alola dex)037 (U.Sun/U.Moon — Alola dex)	438	Bonsai Pokémon	Rock	33.1 lbs (15.0 kg)	Bonsly
437	1. Soundproof2. FilterTechnician (hidden ability)	2′00″ (0.6 m)	094 (Diamond/Pearl)094 (Platinum)113 (X/Y — Coastal Kalos)059 (U.Sun/U.Moon — Alola dex)	439	Mime Pokémon	Psychic Fairy	28.7 lbs (13.0 kg)	Mime Jr.
438	1. Natural Cure2. Serene GraceFriend Guard (hidden ability)	2′00″ (0.6 m)	096 (Diamond/Pearl)096 (Platinum)032 (Sun/Moon — Alola dex)039 (U.Sun/U.Moon — Alola dex)	440	Playhouse Pokémon	Normal	53.8 lbs (24.4 kg)	Happiny
439	1. Keen Eye2. Tangled FeetBig Pecks (hidden ability)	1′08″ (0.5 m)	102 (Diamond/Pearl)102 (Platinum)138 (X/Y — Coastal Kalos)	441	Music Note Pokémon	Normal Flying	4.2 lbs (1.9 kg)	Chatot
